TID,ES,EN
game_title,Randominiozador Público,Public Randomainzer
nivel,Nivel,Level
settings,Configuraciones,Settings
terms_conditions,Términos y condiciones,Terms & Conditions
credits,Créditos,Credits
gameover,Fin del juego,Game Over
x_points,{0} Puntos,{0} points
play_again,Jugar [] de nuevo,Play again
back_to_home,Volver [] atras,Back to [] home
pause,Pausa,Pause
resume,Continuar,Resume
finish_game_x_points,Terminar juego [] {0} pts,Finish game [] {0} pts
ends_in,Termina en {0},Ends in {0}
play,Jugar,Play
entregar,Entregar,Deliver
tutorial,Tutorial,Tutorial
tag_animacion,Animación,Animation
tag_rojo,Rojo,Red
tag_animal,Animal,Animal
tag_amarillo,Amarillo,Yellow
tag_pocaropa,Poca ropa,Few Clothes
tag_azul,Azul,Blue
tag_ninez,Niñez,Childhood
tag_furry,Furry,Furry
tag_fuerte,Fuerte,Strong
tag_mar,Mar,Sea
tag_terror,Terror,Horror
tag_verde,Verde,Green
tag_justiciero,Justiciero,Vigilante
ending_1_star,Tu emprendimiento de personajes sin licencia fracasó debido a las multiples críticas de tus frustrados clientes. Dedicate a otra cosa. ,Your unlicensed character venture failed due to multiple criticisms from your frustrated customers. Find a new career.
ending_2_star,Tu emprendimiento tuvo que cerrar a pesar de tus múltilples intentos para que funcione. ,Your business had to close despite your multiple attempts to make it work.
ending_3_star,A pesar de las múltiples dificultades que enfrentaste[.] tu negocio logró subsistir. Contratá a un desarrolladore para mejorar tu sitio web y a un CM para que te maneje las redes[.] ratón.,Despite the many difficulties you faced[.] your business managed to survive. Hire a developer to improve your website and a CM to manage your networks[.] penny pincher.
ending_4_star,Puede que hayas tenido un par de pifies[.] pero tu negocio logró prosperar[.] además de conseguir y mantener una clientela estable. Bien ahí. ,You may have had a couple of failures[.] but your business managed to prosper[.] in addition to gaining and maintaining a stable clientele. Good job!
ending_5_star,Tu tienda es todo un éxito en el mercado de los personajes sin licencia. No dejan de llegarte pedidos y recomendaciones en Google. Felicitaciones.,Your store is a success in the unlicensed character market. You keep receiving orders and recommendations on Google. Congratulations!!!
tag_byn,Blanco y Negro,Black & White
